Sample name , age , uncertainty , unit name ,  sequential order
CV154 , 20.3 , 1.1 , ID , 3
CV155 , 14.7 , 0.9 , PD , 1
CV156 , 21.1 , 1.2 , PD , 1
CV157 , 23.5 , 1.4 , PD , 1
CV158 , 22.3 , 1.3 , PD , 1
CV159 , 18.9 , 1.1 , PM , 2
CV160 , 18.7 , 1.1 , PM , 2
CV161 , 22.2 , 1.3 , PD , 1
CV162 , 24.2 , 1.5 , PD , 1
CV163 , 21.9 , 1.3 , PD , 1
CV164 , 18 , 1.1 , PD , 1
CV165 , 21.6 , 1.2 , PD , 1
CV166 , 17.9 , 1 , ID , 3
CV167 , 19.1 , 1 , PM , 2
CV168 , 19.1 , 1.1 , PD , 1
CV169 , 19.9 , 1.1 , PD , 1
CV170 , 25 , 1.4 , PD , 1
CV171 , 21.1 , 1.2 , PM , 2
CV172 , 22.4 , 1.3 , PD , 1
CV173 , 21.1 , 1.1 , PD , 1
CV174 , 23.5 , 1.3 , PD , 1
CV175 , 21.6 , 1.3 , PM , 2
PINAR 07 , 15.9 , 2.9 , PD , 1
PINAR 08 , 21.4 , 8.8 , PD , 1
PINAR-09 , 23.8 , 2.9 , PD , 1
PINAR-10 , 18.7 , 4.2 , PM , 2
PINAR-11 , 16.8 , 3.7 , ID , 3
PINAR-12 , 14.9 , 2.9 , ID , 3
GREDOS-1 , 24.5 , 2.5 , PD , 1
GREDOS-2 , 24.1 , 2.3 , PD , 1
GREDOS-3 , 22.8 , 2.3 , ID , 3
GREDOS-4 , 22.8 , 2.1 , ID , 3

